Name,Quantity,Component,
"BackupVcc, PowerGoodVcc",2,"3.5 , 5  Power Supply",
"norSmallp1, norSmallp2",2, Small Signal pMOS Transistor,
"norSmalln1, norSmalln2",2, Small Signal nMOS Transistor,
Red Light,1,Red LED,
"powergoodamp, backupamp",2, 741 Operational Amplifier,
ThrBT,1,3.2V Threshold,
Yellow Light,1,Yellow LED,
Green Light,1,Green LED,
"notnMOS, andn1, andn2, andn3, routingn1, routingn2",6, nMOS Transistor (MOSFET),
"notpMOS, andp1, andp2, andp3, routingp1, routingp2",6, pMOS Transistor (MOSFET),
"notR1, notR2",2,220 Ω Resistor,
Load,1, DC Motor,
"loadD1, loadD2",2,Diode, 
"loadR1, loadR2",2,10 kΩ Resistor,
